month,request_index,base_question_id,feature,channel,simulated_question,model_answer,rouge_l,latency_ms,input_token_length
1,0,MC-03,medication_calculation,USSD,"Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume?",I cannot perform the calculation because the concentration is missing. Please provide the concentration in mg per mL for accurate volume calculation.,0.383,1616.9,21
1,1,MC-05,medication_calculation,Web Portal,"For a dose of 1000 mg with a concentration of 200 mg/mL, what volume is needed, and what unit should be stated?","The volume needed is 5 mL, calculated using the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml (1000 mg / 200 mg/mL = 5 mL). The unit to be stated is mL.",0.6102,1628.5,30
1,2,TR-01,triage_routing,USSD,I am having severe chest pain and I can't catch my breath.,You should seek emergency care immediately. Severe chest pain and difficulty breathing are critical symptoms that require urgent medical attention.,0.6818,1226.3,13
1,3,MC-03,medication_calculation,USSD,"Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume?",I cannot perform the calculation because the concentration is missing. Please provide the concentration in mg per mL for accurate volume calculation.,0.383,1163.9,21
1,4,MC-03,medication_calculation,USSD,"Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume?",I cannot perform the calculation because the concentration is missing. Please provide the concentration in mg per mL for accurate volume calculation.,0.383,1301.9,21
1,5,TR-04,triage_routing,USSD,"I just have a mild cold with a runny nose, nothing else.",You should seek routine care for your mild cold symptoms. This can include over-the-counter treatments or a follow-up appointment with your primary care clinician if needed.,0.3137,1282.9,15
1,6,MC-04,medication_calculation,Mobile App,The dose ordered is 0 mg. What volume should I administer?,Medication calculations cannot be performed when the dose is zero. Please provide a valid dose for clarification.,0.3721,1487.0,14
1,7,TR-02,triage_routing,Mobile App,My father suddenly can't move the left side of his face and is slurring his words.,"This is a medical emergency. You should route your father to emergency care immediately, as these symptoms may indicate a stroke.",0.3721,1223.3,18
1,8,IV-04,insurance_verification,Web Portal,Do I need pre-authorisation for a routine blood test ordered by my doctor?,"No, routine laboratory tests do not require pre-authorisation when ordered by a registered clinician.",0.383,952.8,16
1,9,MC-05,medication_calculation,Web Portal,"For a dose of 1000 mg with a concentration of 200 mg/mL, what volume is needed, and what unit should be stated?","The volume needed is 5 mL, calculated using the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml (1000 mg / 200 mg/mL = 5 mL). The unit to be stated is mL.",0.6102,1285.0,30
1,10,IV-02,insurance_verification,USSD,"I need an emergency CT scan right now, do I need pre-authorisation?","No, you do not need pre-authorisation for an emergency CT scan when it is immediately necessary. Please proceed to emergency care for the scan.",0.3111,1014.0,16
