id,feature,channel,model,question,clinical_reference,model_answer,bleu,rouge_l,token_f1,correctness,groundedness,relevance,helpfulness,overall_alignment,latency_ms,input_tokens,output_tokens
TR-01,triage_routing,USSD,gpt-4o-mini,I am having severe chest pain and I can't catch my breath.,This should be routed to emergency care immediately. Severe chest pain and severe difficulty breathing are both listed emergency symptoms that require urgent action.,You should seek emergency care immediately. Severe chest pain and difficulty breathing are critical symptoms that require urgent medical attention.,41.73,0.6818,0.6818,5,5,5,5,5,6381.2,487,22
TR-02,triage_routing,Mobile App,gpt-4o-mini,My father suddenly can't move the left side of his face and is slurring his words.,"This should be routed to emergency care immediately. Facial weakness and difficulty speaking are signs of stroke, which require immediate emergency routing.","This is a medical emergency. You should route your father to emergency care immediately, as these symptoms may indicate a stroke.",12.17,0.3721,0.3721,5,5,5,5,5,2323.4,492,24
TR-03,triage_routing,Web Portal,gpt-4o-mini,I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated.,"This patient should receive urgent clinical review. Persistent high fever combined with persistent vomiting and signs of dehydration are urgent clinical review indicators, not routine care.",You should seek urgent clinical review immediately due to your persistent high fever and signs of dehydration from vomiting. Please contact your healthcare provider or visit the nearest urgent care facility.,13.09,0.4561,0.4912,5,5,5,5,5,2973.4,494,33
TR-04,triage_routing,USSD,gpt-4o-mini,"I just have a mild cold with a runny nose, nothing else.",This can be routed to routine outpatient care. Mild cold symptoms with no worsening or emergency indicators are a routine care example.,You can receive routine care for your mild cold symptoms. Consider scheduling a follow-up appointment or consulting with a clinician for further advice.,5.36,0.3478,0.3913,5,5,5,5,5,2301.3,489,26
TR-05,triage_routing,Mobile App,gpt-4o-mini,My child had a seizure that has now lasted about seven minutes.,This should be routed to emergency care immediately. Seizures lasting more than five minutes are an explicit emergency symptom.,This situation requires immediate emergency care. Please route your child to emergency services right away.,5.88,0.2353,0.2941,5,5,5,5,5,1169.5,487,17
IV-01,insurance_verification,Web Portal,gpt-4o-mini,"Is an outpatient MRI covered by my AfyaPlus plan, and do I need approval first?","Outpatient MRI scans are covered when requested by a registered physician, but they require pre-authorisation before the procedure. The standard outpatient MRI co-payment is KES 2,000.","Yes, an outpatient MRI is covered by your AfyaPlus plan, but it requires pre-authorization before the procedure. The standard outpatient MRI co-payment is KES 2,000.",46.1,0.7018,0.6667,5,5,5,5,5,2274.4,493,38
IV-02,insurance_verification,USSD,gpt-4o-mini,"I need an emergency CT scan right now, do I need pre-authorisation?",No. Emergency CT scans may proceed without prior authorisation when the attending clinician determines that immediate imaging is medically necessary.,"No, you do not need pre-authorisation for an emergency CT scan when it is immediately necessary. Proceed to emergency care for the scan.",4.09,0.3182,0.4091,5,5,5,5,5,1307.6,490,28
IV-03,insurance_verification,Mobile App,gpt-4o-mini,Can I see a specialist without a referral from my regular doctor?,Routine specialist consultations require a valid referral from a registered primary care clinician. Emergency specialist consultations do not require a referral.,"You can see a specialist without a referral if it is an emergency consultation. For non-emergency situations, a valid referral from a registered primary care clinician is required.",28.93,0.48,0.52,5,5,5,5,5,1467.3,487,33
IV-04,insurance_verification,Web Portal,gpt-4o-mini,Do I need pre-authorisation for a routine blood test ordered by my doctor?,Routine laboratory tests are covered when ordered by a registered clinician and generally do not need pre-authorisation. Specialised laboratory tests may require pre-authorisation depending on the patient's benefit plan.,"No, routine laboratory tests do not require pre-authorisation when ordered by a registered clinician.",16.1,0.383,0.5957,5,5,5,5,5,1146.7,490,18
IV-05,insurance_verification,USSD,gpt-4o-mini,What is my co-payment for an outpatient MRI scan?,"The standard outpatient MRI co-payment under the AfyaPlus policy is KES 2,000.","The standard outpatient MRI co-payment is KES 2,000.",47.94,0.8333,0.8333,5,5,5,5,5,1453.0,485,14
MC-01,medication_calculation,Mobile App,gpt-4o-mini,"The doctor prescribed 500 mg of a medication, and the available concentration is 250 mg/mL. What volume should be administered?",Using volume_ml = prescribed_dose_mg / concentration_mg_per_ml: 500 / 250 = 2.00 mL should be administered.,"To calculate the volume to be administered, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 500 mg / 250 mg/mL = 2 mL. 

The volume to be administered is 2 mL.",32.49,0.5818,0.5455,5,5,5,5,5,1568.7,501,60
MC-02,medication_calculation,Web Portal,gpt-4o-mini,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?",Using volume_ml = prescribed_dose_mg / concentration_mg_per_ml: 750 / 250 = 3.00 mL should be administered.,"To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",33.57,0.5769,0.5385,5,5,5,5,5,1417.7,504,57
MC-03,medication_calculation,USSD,gpt-4o-mini,"Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume?",No. The calculation cannot proceed because the concentration is missing. Missing clinical values must be clarified instead of guessed; the volume should not be estimated.,I cannot perform the calculation because the concentration is missing. Please provide the concentration in mg per mL for accurate volume calculation.,18.31,0.383,0.4255,5,5,5,5,5,1305.4,495,25
MC-04,medication_calculation,Mobile App,gpt-4o-mini,The dose ordered is 0 mg. What volume should I administer?,The calculation cannot be performed for a zero dose. Zero or negative doses are invalid and clarification should be requested rather than returning a computed volume.,Medication calculations cannot be performed when the dose is zero. Please provide a valid dose for clarification.,6.34,0.3721,0.4186,5,5,5,5,5,1470.4,488,19
