day,feature,model,requests,avg_input_tokens,avg_output_tokens,cost_usd
1,triage_routing,gpt-4o-mini,668,489.8,24.4,0.0589
1,triage_routing,gpt-4o,222,489.8,30.0,0.3384
1,insurance_verification,gpt-4o-mini,444,489.0,26.2,0.0395
1,insurance_verification,gpt-4o,148,489.0,29.6,0.2247
1,medication_calculation,gpt-4o-mini,260,498.4,42.8,0.0261
1,medication_calculation,gpt-4o,87,498.4,41.0,0.1441
2,triage_routing,gpt-4o-mini,720,489.8,24.4,0.0634
2,triage_routing,gpt-4o,240,489.8,30.0,0.3659
2,insurance_verification,gpt-4o-mini,450,489.0,26.2,0.0401
2,insurance_verification,gpt-4o,150,489.0,29.6,0.2278
2,medication_calculation,gpt-4o-mini,233,498.4,42.8,0.0234
2,medication_calculation,gpt-4o,78,498.4,41.0,0.1292
3,triage_routing,gpt-4o-mini,706,489.8,24.4,0.0622
3,triage_routing,gpt-4o,236,489.8,30.0,0.3598
3,insurance_verification,gpt-4o-mini,449,489.0,26.2,0.04
3,insurance_verification,gpt-4o,150,489.0,29.6,0.2278
3,medication_calculation,gpt-4o-mini,263,498.4,42.8,0.0264
3,medication_calculation,gpt-4o,88,498.4,41.0,0.1457
4,triage_routing,gpt-4o-mini,702,489.8,24.4,0.0619
4,triage_routing,gpt-4o,234,489.8,30.0,0.3567
4,insurance_verification,gpt-4o-mini,472,489.0,26.2,0.042
4,insurance_verification,gpt-4o,158,489.0,29.6,0.2399
4,medication_calculation,gpt-4o-mini,296,498.4,42.8,0.0297
4,medication_calculation,gpt-4o,98,498.4,41.0,0.1623
5,triage_routing,gpt-4o-mini,740,489.8,24.4,0.0652
5,triage_routing,gpt-4o,246,489.8,30.0,0.375
5,insurance_verification,gpt-4o-mini,472,489.0,26.2,0.042
5,insurance_verification,gpt-4o,158,489.0,29.6,0.2399
5,medication_calculation,gpt-4o-mini,257,498.4,42.8,0.0258
5,medication_calculation,gpt-4o,86,498.4,41.0,0.1424
6,triage_routing,gpt-4o-mini,652,489.8,24.4,0.0574
6,triage_routing,gpt-4o,217,489.8,30.0,0.3308
6,insurance_verification,gpt-4o-mini,482,489.0,26.2,0.0429
6,insurance_verification,gpt-4o,161,489.0,29.6,0.2445
6,medication_calculation,gpt-4o-mini,304,498.4,42.8,0.0305
6,medication_calculation,gpt-4o,102,498.4,41.0,0.1689
7,triage_routing,gpt-4o-mini,719,489.8,24.4,0.0634
7,triage_routing,gpt-4o,240,489.8,30.0,0.3659
7,insurance_verification,gpt-4o-mini,473,489.0,26.2,0.0421
7,insurance_verification,gpt-4o,158,489.0,29.6,0.2399
7,medication_calculation,gpt-4o-mini,290,498.4,42.8,0.0291
7,medication_calculation,gpt-4o,97,498.4,41.0,0.1606
8,triage_routing,gpt-4o-mini,640,489.8,24.4,0.0564
8,triage_routing,gpt-4o,213,489.8,30.0,0.3247
8,insurance_verification,gpt-4o-mini,470,489.0,26.2,0.0419
8,insurance_verification,gpt-4o,157,489.0,29.6,0.2384
8,medication_calculation,gpt-4o-mini,292,498.4,42.8,0.0293
8,medication_calculation,gpt-4o,98,498.4,41.0,0.1623
9,triage_routing,gpt-4o-mini,782,489.8,24.4,0.0689
9,triage_routing,gpt-4o,261,489.8,30.0,0.3979
9,insurance_verification,gpt-4o-mini,478,489.0,26.2,0.0426
9,insurance_verification,gpt-4o,159,489.0,29.6,0.2414
9,medication_calculation,gpt-4o-mini,292,498.4,42.8,0.0293
9,medication_calculation,gpt-4o,98,498.4,41.0,0.1623
10,triage_routing,gpt-4o-mini,753,489.8,24.4,0.0663
10,triage_routing,gpt-4o,251,489.8,30.0,0.3826
10,insurance_verification,gpt-4o-mini,523,489.0,26.2,0.0466
10,insurance_verification,gpt-4o,174,489.0,29.6,0.2642
10,medication_calculation,gpt-4o-mini,262,498.4,42.8,0.0263
10,medication_calculation,gpt-4o,87,498.4,41.0,0.1441
11,triage_routing,gpt-4o-mini,779,489.8,24.4,0.0686
11,triage_routing,gpt-4o,260,489.8,30.0,0.3964
11,insurance_verification,gpt-4o-mini,436,489.0,26.2,0.0388
11,insurance_verification,gpt-4o,146,489.0,29.6,0.2217
11,medication_calculation,gpt-4o-mini,230,498.4,42.8,0.0231
11,medication_calculation,gpt-4o,76,498.4,41.0,0.1259
12,triage_routing,gpt-4o-mini,716,489.8,24.4,0.0631
12,triage_routing,gpt-4o,239,489.8,30.0,0.3644
12,insurance_verification,gpt-4o-mini,465,489.0,26.2,0.0414
12,insurance_verification,gpt-4o,155,489.0,29.6,0.2354
12,medication_calculation,gpt-4o-mini,314,498.4,42.8,0.0315
12,medication_calculation,gpt-4o,104,498.4,41.0,0.1722
13,triage_routing,gpt-4o-mini,801,489.8,24.4,0.0706
13,triage_routing,gpt-4o,267,489.8,30.0,0.407
13,insurance_verification,gpt-4o-mini,458,489.0,26.2,0.0408
13,insurance_verification,gpt-4o,152,489.0,29.6,0.2308
13,medication_calculation,gpt-4o-mini,316,498.4,42.8,0.0317
13,medication_calculation,gpt-4o,105,498.4,41.0,0.1739
14,triage_routing,gpt-4o-mini,706,489.8,24.4,0.0622
14,triage_routing,gpt-4o,236,489.8,30.0,0.3598
14,insurance_verification,gpt-4o-mini,508,489.0,26.2,0.0452
14,insurance_verification,gpt-4o,170,489.0,29.6,0.2581
14,medication_calculation,gpt-4o-mini,292,498.4,42.8,0.0293
14,medication_calculation,gpt-4o,97,498.4,41.0,0.1606
15,triage_routing,gpt-4o-mini,783,489.8,24.4,0.069
15,triage_routing,gpt-4o,261,489.8,30.0,0.3979
15,insurance_verification,gpt-4o-mini,551,489.0,26.2,0.0491
15,insurance_verification,gpt-4o,184,489.0,29.6,0.2794
15,medication_calculation,gpt-4o-mini,317,498.4,42.8,0.0318
15,medication_calculation,gpt-4o,106,498.4,41.0,0.1755
16,triage_routing,gpt-4o-mini,806,489.8,24.4,0.071
16,triage_routing,gpt-4o,268,489.8,30.0,0.4086
16,insurance_verification,gpt-4o-mini,550,489.0,26.2,0.049
16,insurance_verification,gpt-4o,183,489.0,29.6,0.2779
16,medication_calculation,gpt-4o-mini,316,498.4,42.8,0.0317
16,medication_calculation,gpt-4o,106,498.4,41.0,0.1755
17,triage_routing,gpt-4o-mini,752,489.8,24.4,0.0663
17,triage_routing,gpt-4o,250,489.8,30.0,0.3811
17,insurance_verification,gpt-4o-mini,497,489.0,26.2,0.0443
17,insurance_verification,gpt-4o,166,489.0,29.6,0.2521
17,medication_calculation,gpt-4o-mini,296,498.4,42.8,0.0297
17,medication_calculation,gpt-4o,99,498.4,41.0,0.1639
18,triage_routing,gpt-4o-mini,831,489.8,24.4,0.0732
18,triage_routing,gpt-4o,277,489.8,30.0,0.4223
18,insurance_verification,gpt-4o-mini,522,489.0,26.2,0.0465
18,insurance_verification,gpt-4o,174,489.0,29.6,0.2642
18,medication_calculation,gpt-4o-mini,369,498.4,42.8,0.0371
18,medication_calculation,gpt-4o,123,498.4,41.0,0.2037
19,triage_routing,gpt-4o-mini,754,489.8,24.4,0.0664
19,triage_routing,gpt-4o,252,489.8,30.0,0.3842
19,insurance_verification,gpt-4o-mini,491,489.0,26.2,0.0437
19,insurance_verification,gpt-4o,164,489.0,29.6,0.249
19,medication_calculation,gpt-4o-mini,333,498.4,42.8,0.0334
19,medication_calculation,gpt-4o,111,498.4,41.0,0.1838
20,triage_routing,gpt-4o-mini,908,489.8,24.4,0.08
20,triage_routing,gpt-4o,303,489.8,30.0,0.4619
20,insurance_verification,gpt-4o-mini,566,489.0,26.2,0.0504
20,insurance_verification,gpt-4o,188,489.0,29.6,0.2855
20,medication_calculation,gpt-4o-mini,338,498.4,42.8,0.0339
20,medication_calculation,gpt-4o,113,498.4,41.0,0.1871
21,triage_routing,gpt-4o-mini,917,489.8,24.4,0.0808
21,triage_routing,gpt-4o,306,489.8,30.0,0.4665
21,insurance_verification,gpt-4o-mini,545,489.0,26.2,0.0485
21,insurance_verification,gpt-4o,182,489.0,29.6,0.2764
21,medication_calculation,gpt-4o-mini,284,498.4,42.8,0.0285
21,medication_calculation,gpt-4o,94,498.4,41.0,0.1557
